iter	RMSE
0	11.08872993
1	10.55044883
2	10.0420508
3	9.554884799
4	9.094114128
5	8.654308969
6	8.235264916
7	7.838288691
8	7.461314608
9	7.101023124
10	6.758931274
11	6.435840972
12	6.127140082
13	5.833075905
14	5.553639506
15	5.289390046
16	5.036458743
17	4.796253133
18	4.567516648
19	4.350217906
20	4.144172468
21	3.948762992
22	3.76242077
23	3.584365048
24	3.415985704
25	3.255710293
26	3.103437768
27	2.957844754
28	2.821115888
29	2.689457677
30	2.564674114
31	2.446514753
32	2.33379451
33	2.22738189
34	2.125967629
35	2.029980787
36	1.938547709
37	1.851528995
38	1.768913377
39	1.690944832
40	1.616439082
41	1.545884796
42	1.479202896
43	1.415585137
44	1.355252581
45	1.2986039
46	1.244341112
47	1.193313492
48	1.144905663
49	1.098990492
50	1.055740356
51	1.014443562
52	0.9750969346
53	0.9384914692
54	0.9037151839
55	0.8709770087
56	0.8398304932
57	0.8109472814
58	0.7833445207
59	0.7573017217
60	0.7327833189
61	0.7100185493
62	0.6885352055
63	0.6681082281
64	0.6490250041
65	0.6308965413
66	0.6142792535
67	0.5984638731
68	0.583660699
69	0.5700679959
70	0.5571250037
71	0.5451605128
72	0.5340357684
73	0.5234069442
74	0.5137267495
75	0.5046094211
76	0.4961063931
77	0.4880454112
78	0.4805008134
79	0.4735048264
80	0.4668376637
81	0.4607751563
82	0.4551809974
83	0.4497828273
84	0.4450403903
85	0.4404423989
86	0.4362534544
87	0.4322633687
88	0.4285676919
89	0.4252242236
90	0.4220005714
91	0.4190036408
92	0.416224459
93	0.4136898874
94	0.4113207995
95	0.4091310454
96	0.4070324996
97	0.40507383
98	0.4033134582
99	0.4016187518
100	0.4000094663
101	0.3985432386
102	0.3970078638
103	0.3956353067
104	0.3944107483
105	0.3931518639
106	0.3920679599
107	0.3909903561
108	0.3899524357
109	0.388618708
110	0.3877241307
111	0.3866623022
112	0.3858524257
113	0.3847596289
114	0.3840032127
115	0.3832972621
116	0.3823897601
117	0.3818025894
118	0.3811930155
119	0.3806766396
120	0.379877958
121	0.379399779
122	0.3787157616
123	0.3780527803
124	0.3774917218
125	0.3770939039
126	0.376475091
127	0.3760576512
128	0.3756285454
129	0.3750243814
130	0.374454362
131	0.3739635647
132	0.3734547411
133	0.3730744708
134	0.3723133821
135	0.371898003
136	0.3712430395
137	0.3709475944
138	0.3706301768
139	0.3703019125
140	0.3698918844
141	0.3695577571
142	0.3692988682
143	0.3686622709
144	0.3681329999
145	0.3678191142
146	0.3675450257
147	0.3669740462
148	0.3666555779
149	0.3664131645
150	0.3661456067
151	0.365951573
152	0.3657811905
153	0.3654471297
154	0.3649994387
155	0.3647336656
156	0.3645299374
157	0.3640771214
158	0.3636739227
159	0.3631439329
160	0.3626928578
161	0.3622638578
162	0.3620424238
163	0.3618960354
164	0.3616154586
165	0.3610583577
166	0.3607911542
167	0.3606203778
168	0.3604305683
169	0.3600435358
170	0.3595161434
171	0.3593134538
172	0.3590480717
173	0.3587629459
174	0.358525584
175	0.3582802085
176	0.3578388952
177	0.3575673046
178	0.3573729399
179	0.3571529503
180	0.3570348467
181	0.3568218396
182	0.356658142
183	0.3563232531
184	0.3560766827
185	0.3558247483
186	0.3555961277
187	0.3553754961
188	0.3549854605
189	0.3548433514
190	0.3545387364
191	0.3543313622
192	0.3539881326
193	0.3536964105
194	0.3534819199
195	0.3531903489
196	0.3528242065
197	0.3527691846
198	0.3526399747
199	0.3522426292
200	0.3519468895
201	0.3516699999
202	0.3514308441
203	0.3511483127
204	0.3508505454
205	0.3506579594
206	0.3502697911
207	0.3501196837
208	0.3497934932
209	0.3495404952
210	0.3491902397
211	0.3488897998
212	0.3486683707
213	0.348416699
214	0.3481996435
215	0.3480204464
216	0.3478426707
217	0.3476064867
218	0.347292864
219	0.3470833949
220	0.3468913257
221	0.3465655775
222	0.3464071075
223	0.3461434058
224	0.3459901661
225	0.345754738
226	0.3456525586
227	0.3454032354
228	0.3452544091
229	0.3450625426
230	0.3448269949
231	0.3445587773
232	0.3443626865
233	0.3441118444
234	0.3439513392
235	0.3437277594
236	0.3435100544
237	0.3433601427
238	0.3431494169
239	0.3428951604
240	0.3427156899
241	0.3424445046
242	0.3422513287
243	0.3420671402
244	0.341886423
245	0.341807737
246	0.3416145513
247	0.3414426797
248	0.3412367881
249	0.3410444721
250	0.3408144064
251	0.3406680721
252	0.3404285276
253	0.340228171
254	0.3400282313
255	0.3398644172
256	0.3396075603
257	0.3393674224
258	0.3391516187
259	0.3389578513
260	0.3388182034
261	0.338563918
262	0.338437913
263	0.338221587
264	0.3380055332
265	0.3377865353
266	0.337655264
267	0.3374754468
268	0.3372825047
269	0.3370914404
270	0.3368659366
271	0.3367000721
272	0.3365082788
273	0.3364209216
274	0.3362161265
275	0.3360387302
276	0.3359311017
277	0.3357679121
278	0.335587968
279	0.3354434494
280	0.3352823354
281	0.3351561393
282	0.3349721081
283	0.3348747439
284	0.3346706763
285	0.334498099
286	0.334323199
287	0.3341635791
288	0.3339502181
289	0.3337859739
290	0.3336428126
291	0.3335000206
292	0.3333798556
293	0.3331927601
294	0.3329098633
295	0.3327551473
296	0.3325523268
297	0.3323858221
298	0.3322000256
299	0.3320493759
300	0.3318786955
301	0.3316919511
302	0.3313500184
303	0.331256691
304	0.331073572
305	0.3309645314
306	0.3308499857
307	0.3306594318
308	0.3305245478
309	0.3303766407
310	0.3302869805
311	0.3300923456
312	0.3299420539
313	0.329806804
314	0.3296772632
315	0.3294389832
316	0.3293414804
317	0.3292031046
318	0.3290320679
319	0.3289366566
320	0.328775135
321	0.3286242409
322	0.3284890458
323	0.3283322758
324	0.3281558255
325	0.3279378989
326	0.3278404608
327	0.3276437005
328	0.3274461933
329	0.3273208663
330	0.32716658
331	0.3270588421
332	0.3268999072
333	0.3267848449
334	0.3265525317
335	0.3263733151
336	0.3262428072
337	0.3261001512
338	0.3259448023
339	0.3257892031
340	0.3256937972
341	0.3254995483
342	0.3253408963
343	0.3252528063
344	0.3250391043
345	0.3249429626
346	0.3248470134
347	0.3247115283
348	0.3245366495
349	0.3244407867
350	0.3243227708
351	0.3242072368
352	0.3240885155
353	0.3239890627
354	0.3238412158
355	0.3237287484
356	0.3235797913
357	0.3234670407
358	0.3233340864
359	0.3231688018
360	0.3229753761
361	0.3228803842
362	0.3226972887
363	0.3225403306
364	0.3223991544
365	0.3222794254
366	0.3221182809
367	0.3219352873
368	0.3217919861
369	0.3216869275
370	0.3215571228
371	0.3214273699
372	0.3212634587
373	0.3211892294
374	0.3211084384
375	0.3209625309
376	0.3208549776
377	0.3206864896
378	0.3204744479
379	0.3203714377
380	0.3202573631
381	0.3201204739
382	0.3199940281
383	0.31987289
384	0.3197292035
385	0.3196065721
386	0.3195276282
387	0.3194393737
388	0.3193349802
389	0.3191855474
390	0.3191124399
391	0.3189816926
392	0.3188798815
393	0.3187860268
394	0.3186910178
395	0.3185645606
396	0.3184806087
397	0.3184029643
398	0.3183022013
399	0.3181428642
