iter	Passed	Remaining
0	125	49920
1	148	29499
2	169	22491
3	191	19004
4	214	16906
5	235	15454
6	259	14558
7	284	13920
8	306	13305
9	326	12748
10	346	12251
11	366	11847
12	386	11511
13	409	11280
14	433	11135
15	456	10960
16	477	10752
17	499	10593
18	520	10439
19	541	10292
20	562	10151
21	582	10007
22	602	9872
23	623	9770
24	645	9677
25	664	9556
26	686	9486
27	707	9401
28	730	9347
29	753	9290
30	774	9221
31	795	9152
32	816	9086
33	841	9056
34	865	9026
35	889	8991
36	913	8961
37	936	8925
38	959	8883
39	990	8914
40	1009	8839
41	1029	8773
42	1049	8709
43	1069	8651
44	1090	8601
45	1113	8570
46	1133	8515
47	1152	8452
48	1173	8402
49	1194	8359
50	1215	8320
51	1235	8265
52	1256	8225
53	1278	8193
54	1300	8157
55	1321	8120
56	1344	8089
57	1365	8054
58	1388	8025
59	1411	7999
60	1434	7969
61	1455	7935
62	1477	7902
63	1498	7867
64	1518	7828
65	1539	7789
66	1559	7751
67	1580	7716
68	1602	7688
69	1624	7659
70	1645	7626
71	1666	7591
72	1687	7558
73	1708	7528
74	1729	7496
75	1750	7462
76	1772	7433
77	1793	7402
78	1813	7367
79	1834	7338
80	1855	7308
81	1877	7282
82	1899	7252
83	1919	7221
84	1937	7179
85	1955	7140
86	1974	7103
87	1993	7066
88	2013	7034
89	2031	6998
90	2051	6967
91	2071	6936
92	2094	6914
93	2112	6877
94	2131	6844
95	2149	6805
96	2168	6773
97	2185	6736
98	2205	6704
99	2224	6674
100	2243	6642
101	2262	6609
102	2282	6581
103	2302	6554
104	2321	6523
105	2341	6495
106	2362	6468
107	2382	6440
108	2404	6419
109	2424	6392
110	2445	6367
111	2468	6346
112	2490	6326
113	2511	6300
114	2533	6278
115	2554	6254
116	2575	6230
117	2596	6204
118	2616	6178
119	2637	6153
120	2657	6126
121	2676	6099
122	2696	6073
123	2719	6052
124	2741	6031
125	2762	6007
126	2784	5986
127	2806	5964
128	2834	5953
129	2855	5931
130	2876	5905
131	2896	5881
132	2917	5856
133	2938	5832
134	2959	5810
135	2980	5785
136	2999	5758
137	3018	5730
138	3036	5702
139	3055	5675
140	3076	5650
141	3095	5623
142	3117	5602
143	3137	5577
144	3157	5552
145	3178	5529
146	3198	5504
147	3219	5482
148	3241	5460
149	3263	5438
150	3286	5419
151	3307	5396
152	3328	5373
153	3348	5349
154	3370	5327
155	3391	5304
156	3414	5285
157	3435	5262
158	3454	5236
159	3472	5208
160	3490	5181
161	3507	5152
162	3527	5129
163	3547	5104
164	3566	5079
165	3585	5054
166	3604	5029
167	3623	5004
168	3642	4979
169	3660	4952
170	3679	4927
171	3698	4902
172	3716	4876
173	3735	4851
174	3754	4827
175	3774	4804
176	3794	4780
177	3812	4754
178	3831	4730
179	3848	4703
180	3868	4680
181	3888	4657
182	3909	4636
183	3932	4616
184	3953	4594
185	3973	4571
186	3994	4549
187	4016	4529
188	4038	4508
189	4058	4486
190	4078	4462
191	4103	4445
192	4123	4422
193	4141	4397
194	4159	4372
195	4178	4348
196	4195	4323
197	4213	4298
198	4230	4273
199	4251	4251
200	4270	4227
201	4287	4203
202	4309	4181
203	4331	4161
204	4353	4141
205	4373	4118
206	4393	4096
207	4413	4073
208	4431	4049
209	4451	4027
210	4472	4006
211	4493	3984
212	4512	3961
213	4531	3938
214	4553	3917
215	4577	3899
216	4598	3877
217	4620	3857
218	4645	3839
219	4664	3816
220	4686	3795
221	4707	3774
222	4727	3752
223	4748	3731
224	4769	3709
225	4791	3688
226	4818	3672
227	4838	3650
228	4857	3627
229	4879	3606
230	4899	3584
231	4919	3562
232	4940	3541
233	4960	3519
234	4982	3498
235	5001	3475
236	5018	3451
237	5039	3429
238	5058	3407
239	5080	3387
240	5101	3365
241	5121	3343
242	5142	3322
243	5160	3299
244	5179	3276
245	5199	3254
246	5220	3233
247	5241	3212
248	5261	3190
249	5279	3167
250	5297	3144
251	5315	3121
252	5333	3099
253	5353	3077
254	5372	3055
255	5392	3033
256	5411	3011
257	5430	2988
258	5449	2966
259	5470	2945
260	5490	2924
261	5508	2901
262	5528	2879
263	5547	2857
264	5566	2835
265	5586	2814
266	5607	2793
267	5626	2771
268	5645	2749
269	5667	2728
270	5691	2709
271	5713	2688
272	5735	2668
273	5756	2647
274	5778	2626
275	5801	2606
276	5823	2585
277	5844	2564
278	5862	2542
279	5884	2521
280	5905	2500
281	5923	2478
282	5942	2456
283	5964	2436
284	5984	2414
285	6005	2393
286	6025	2372
287	6044	2350
288	6069	2331
289	6091	2310
290	6112	2289
291	6133	2268
292	6152	2246
293	6171	2225
294	6191	2203
295	6209	2181
296	6229	2160
297	6249	2138
298	6269	2117
299	6287	2095
300	6308	2074
301	6327	2053
302	6345	2031
303	6367	2010
304	6390	1990
305	6413	1970
306	6436	1949
307	6457	1928
308	6477	1907
309	6498	1886
310	6518	1865
311	6541	1845
312	6562	1824
313	6583	1803
314	6606	1782
315	6626	1761
316	6648	1740
317	6671	1720
318	6693	1699
319	6713	1678
320	6734	1657
321	6754	1636
322	6773	1614
323	6794	1593
324	6823	1574
325	6841	1552
326	6859	1531
327	6880	1510
328	6902	1489
329	6919	1467
330	6937	1446
331	6956	1424
332	6977	1403
333	7000	1383
334	7020	1362
335	7040	1340
336	7058	1319
337	7080	1298
338	7101	1277
339	7121	1256
340	7139	1235
341	7159	1214
342	7180	1193
343	7199	1172
344	7218	1150
345	7236	1129
346	7258	1108
347	7276	1087
348	7296	1066
349	7316	1045
350	7334	1023
351	7353	1002
352	7373	981
353	7396	961
354	7415	940
355	7438	919
356	7459	898
357	7478	877
358	7499	856
359	7519	835
360	7540	814
361	7559	793
362	7578	772
363	7599	751
364	7620	730
365	7641	709
366	7659	688
367	7682	668
368	7703	647
369	7724	626
370	7744	605
371	7764	584
372	7783	563
373	7801	542
374	7820	521
375	7841	500
376	7861	479
377	7883	458
378	7905	438
379	7928	417
380	7949	396
381	7971	375
382	7993	354
383	8013	333
384	8032	312
385	8055	292
386	8077	271
387	8098	250
388	8121	229
389	8139	208
390	8158	187
391	8179	166
392	8198	146
393	8216	125
394	8235	104
395	8254	83
396	8274	62
397	8292	41
398	8312	20
399	8332	0
